piyushgoyal, Piyush Goyal
officeofrg, Rahul Kejriwal
arvindkejriwal,Arvind
NarendraModi, Narendra Modi
abhishekaitc,Abhishek Banerjee
adsulanandrao,Anandrao Adsul
AGSawant,Arvind Sawant
AlokSanjar_mp,Alok Sanjar
AnanthKumar_BJP,Ananth Kumar
AnilShiroleBJP,Anil Shirole
AntoAntonyMP1,Anto Antony
AppaBarne,Shrirang Appa Barne
arjunrammeghwal,Arjun Ram Meghwal
asadowaisi,Asaduddin Owaisi
AshwiniKChoubey,Ashwini Kumar Choubey
atnanapatilmp,A.T. Nana Patil
BadruddinAjmal,Badruddin Ajmal
balkasumantrsv,Balka Suman
BandaruDattatry,Bandaru Dattatreya
bhagwantkhuba,Bhagwanth Khuba
bhagwantmann,Bhagwant Mann
BJPRajnathSingh,Rajnath Singh
bjpramkripal,Ram Kripal Yadav
bmajhimp,Balabhadra Majhi
BNChandrappa,B.N. Chandrappa
BSKoshyari,Bhagat Singh Koshyari
bsp_mp,Lakhan Lal Sahu
ButtaRenukaMP,Butta Renuka
capt_amarinder,Amarinder Singh
CGAbhishekSingh,Abhishek Singh
cmnagaland,Neiphiu Rio
CRPaatil,C. R. Patil
daddanmishra,Daddan Mishra
Dchautala,Dushyant Chautala
DeependerSHooda,Deepender Singh Hooda
DevjiPatel92,Devji Patel
DharambirBJP,Dharambir
DimpleYadav10,Dimple Yadav
DinTri,Dinesh Trivedi
dr_maheshsharma,Mahesh Sharma
dr_satyapal,Satya Pal Singh
Dr_Uditraj,Udit Raj
draramadoss,Anbumani Ramadoss
DrAshwani_Kumar,Ashwini Kumar
drbholasingh,Dr Bhola Singh
dreamgirlhema,Hema Malini
drharshvardhan,Harsh Vardhan
drmmjoshibjp,Murli Manohar Joshi
DrSanghamita,Mamtaz Sanghamita
DushyantDholpur,Dushyant Singh
dvgandhi1951,Dharam Vira Gandhi
DVSBJP,D.V. Sadananda Gowda
ET_MohdBasheer,E. T. Mohammed Basheer
faizalpp786,P.P. Mohammed Faizal
G_Ganga_Raju,Gokaraju Ganga Raju
GauravGogoiAsm,Gourav Gogoi
Gen_VKSingh,Vijay Kumar Singh
ghosarpita,Arpita Ghosh
girirajsinghbjp,Giriraj Singh
ianuragthakur,Anurag Singh Thakur
idevadhikari,Adhikari Deepak (Dev)
Ilkadvani,Lal Krishna Advani
irvpaswan,Ram Vilas Paswan
itariqanwar,Tariq Anwar
jayantsinha,Jayant Sinha
Jithenderredd10,A.P. Jithender Reddy
josekmani,Jose K. Mani
KalrajMishra,Kalraj Mishra
KamalNath_,Kamal Nath
katariabjp,Rattan Lal Kataria
KCVenugopal_INC,K. C. Venugopal
KirenRijiju,Kiren Rijiju
KiritSomaiya,Kirit Somaiya
KirronKherBJP,Kirron Anupam Kher
kkdmpnarasimham,Thota Narasimham
kn_ramachandran,K.N. Ramachandran
kothapalli009,Kothapalli Geetha
kpgurjarbjp,Krishan Pal
kpmaurya1,Keshav Prasad Maurya
kunwarsarvesh,Kunwer Sarvesh Kumar
lallusingh_fzd,Lallu Singh
M_Lekhi,Meenakashi Lekhi
MaheishGirri,Maheish Girri
MallikarjunINC,Mallikarjun Kharge
Manekagandhibjp,Maneka Gandhi
manojsinhabjp,Manoj Sinha
ManojTiwariBjp,Manoj Tiwari
mansukhbhai_mos,Mansukhbhai D. Vasava
MehboobaMufti,Mehbooba Mufti
mepratap,Prathap Simha
midhunreddy2013,P.V. Midhun Reddy
MpDayal,Vishnu Dayal Ram
MPKalyanB,Kalyan Banerjee
MpTarai,Rita Tarai
nalinkkateel,Nalin Kumar Kateel
narendramodi,Narendra Modi
narsaiahbura,Boora Narsaiah Goud
NJGadkari,Nitin Jairam Gadkari
nstomarminister,Narendra Singh Tomar
officeofhkbadal,Harsimrat Kaur Badal
OfficeOfRG,Rahul Gandhi
p_sahibsingh,Parvesh Sahib Singh Verma
PalJagdambika,Jai Prakash Narayan Yadav
PandaJay,Baijayant Jay Panda
PonnaarrBJP,P. Radhakrishnan
poonam_mahajan,Poonam Mahajan Alias Poonam Vajendla Rao
PremDasRai,Prem Das Rai
priyankaMP_BBK,Priyanka Singh Rawat
prof_sadhu,Sadhu Singh
R_Lakhanpal,Raghav Lakhanpal
RadhamohanBJP,Radha Mohan Singh
RahulKaswanMP,Rahul Kaswan
RajivPratapRudy,Rajiv Pratap Rudy
rajushetti,Raju Shetti
RamcharanBohra,Ramcharan Bohara
rameshbidhuri,Ramesh Bidhuri
ranjeet_inc,Ranjeet Ranjan
Rao_InderjitS,Inderjit Singh Rao
RaoKavitha,Kalvakuntla Kavitha
raosahebdanve,Raosaheb Patil Danve
RavneetBittu,Ravneet Singh
renukasinha1977,Renuka Sinha
RitiSidhi,Riti Pathak
RodmalNagar,Rodmal Nagar
salimdotcomrade,Md. Salim
SantoshSAhlawat,Santosh Ahlawat
sarbanandsonwal,Sarbananda Sonowal
SathyabamaVasu,V. Sathyabama
ShashiTharoor,Shashi Tharoor
shewale_rahul,Rahul Ramesh Shewale
ShobhaBJP,Shobha Karandlaje
SirajuddinAjmal,Siraj Uddin Ajmal
SirPareshRawal,Paresh Rawal
sudipAITMC,Sudip Bandyopadhyay
supriya_sule,Supriya Sule
SushilSinghMP,Sushil Kumar Singh
SushmaSwaraj,Sushma Swaraj
sushmitadevmp,Sushmita Dev
Suvenduadhikari,Suvendu Adhikari
tariqkarra,Tariq Hameed Karra
tweetanupam,Anupam Hazra
